,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
38,2016,900000,50000,Petrol,Individual,Automatic,First Owner,Toyota,Corolla Altis G,AT
39,2015,1300000,80000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 7,Seater
40,2019,1400000,10000,Petrol,Individual,Manual,First Owner,Jeep,Compass 1.4 Sport Plus,BSIV
41,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class E 200 CGI,Elegance
42,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i10 Magna,1.1L
43,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,BMW,3 Series 320d Sport,Line
44,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,Audi,Q7 35 TDI Quattro,Premium
45,2012,625000,40000,Diesel,Individual,Manual,First Owner,Hyundai,Elantra CRDi,S
46,2014,1050000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99,S10
47,2014,560000,74000,Diesel,Individual,Manual,Second Owner,Honda,City i DTEC,V
48,2014,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV with,ABS
49,2012,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS,IV
50,2009,411000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio,LX
51,2009,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing,GLS
52,2019,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa,Asta
53,2006,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
54,2017,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI,Optional
55,2018,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti,Eeco 5 Seater AC,BSIV
56,2018,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Sportz 1.4,CRDi
57,2018,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/,IMMOBILISER
58,2016,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti,Swift ZDi,BSIV
59,2014,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 2015-2017 Sportz Option 1.4,CRDi
60,2012,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
61,1996,250000,35000,Diesel,Individual,Manual,Second Owner,Mahindra,Jeep CL 500,MDI
62,2014,675000,90000,Diesel,Dealer,Manual,First Owner,Honda,City i DTEC,VX
63,2013,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R VXI BS,IV
64,2005,70000,80000,Diesel,Individual,Manual,First Owner,Tata,Indica,DLS
65,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai,EON Magna,Plus
66,2014,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota,Etios,GD
67,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti,Alto,LXi
68,2009,140000,100000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
69,2010,280000,350000,Diesel,Individual,Manual,Second Owner,Chevrolet,Tavera Neo LS B3 - 7(C) seats,BSIII
70,2011,350000,230000,Diesel,Individual,Manual,First Owner,Toyota,Corolla Altis Diesel,D4DG
71,2017,570000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio 1.99 S6,Plus
72,2018,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
73,2007,100000,39000,Diesel,Individual,Manual,First Owner,Tata,Indigo Classic,Dicor
74,2009,500000,120000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 V Diesel,8-seater
75,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Indica Vista Quadrajet,LS
76,2006,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Swift 1.3,VXi
77,2017,925000,35000,Diesel,Individual,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium,BSIV
78,2018,750000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz 1.3,Delta
79,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,Honda,Civic 1.8 V,AT
80,2010,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Sportz,1.2
81,2014,450000,120000,Diesel,Individual,Manual,Second Owner,Skoda,Rapid 1.5 TDI,Elegance
82,2005,80000,120000,Petrol,Individual,Manual,Third Owner,Hyundai,Getz,GLS
83,2014,650000,76000,Petrol,Individual,Manual,Second Owner,Nissan,Terrano,XL
84,2015,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi,Sportz
85,2019,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Elite i20 Diesel,Era
86,2016,495000,11958,Petrol,Dealer,Manual,First Owner,Honda,Amaze S,i-VTEC
87,2015,371000,20000,Petrol,Dealer,Manual,First Owner,Honda,Brio S,MT
88,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,Hyundai,Creta 1.6 SX,Option
89,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,S-Class S 350d Connoisseurs,Edition
90,2015,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W8,2WD
91,2013,600000,120000,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel RxL,Optional
92,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing,XO
93,2013,325000,62200,Diesel,Dealer,Manual,First Owner,Mahindra,Bolero 2011-2019,SLE
94,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,Audi,A6 2.0 TDI Premium,Plus
95,2015,350000,53000,Diesel,Individual,Manual,Second Owner,Fiat,Avventura MULTIJET,Emotion
96,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,Audi,A8 4.2,TDI
97,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,Datsun,RediGO 1.0,S
98,2013,450000,50000,Petrol,Individual,Manual,First Owner,Volkswagen,Jetta 1.4 TSI,Comfortline
99,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,Audi,A4 2.0 TDI 177 Bhp Premium,Plus
100,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,Honda,Civic 1.8 V,AT
101,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class Exclusive E 200,BSIV
102,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d,xLine
103,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,Volvo,V40 D3 R,Design
104,2008,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti,SX4 Zxi,BSIII
105,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,BMW,7 Series,730Ld
106,2017,628000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
107,2010,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Sonata CRDi,M/T
108,2017,399000,30000,Petrol,Individual,Manual,First Owner,Nissan,Micra Active XV,Petrol
109,2018,750000,87000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo,D4
110,2019,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Sportz Plus Dual Tone,BSIV
111,2017,315000,16000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
112,2012,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo E4 BS,III
113,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LXI,Minor
114,2011,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti,SX4 ZXI MT,BSIV
115,2017,350000,25000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
116,2016,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 CRDi,S
117,2014,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
118,2016,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna 1.6 VTVT AT S,Option
119,2014,555000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio LX,BSIV
120,2007,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi,BSIII
121,2014,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga,VDI
122,2013,165000,60000,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat,Diesel
123,2004,95000,50000,Petrol,Individual,Manual,First Owner,Maruti,Zen,LX
124,2018,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta,1.2
125,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Vdi,BSIII
126,2012,100000,50000,Petrol,Individual,Manual,Second Owner,Tata,Nano Lx,BSIV
127,2012,500000,100000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 8,Seater
128,2016,800000,70000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS,VDI
129,2016,840000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Creta 1.6 CRDi,SX
130,2016,490000,50000,Petrol,Individual,Manual,First Owner,Honda,Amaze S,i-Vtech
131,2010,125000,81000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.4,TDI
132,2012,400000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,Tavera Neo 2 LS B4 7 Str,BSIII
133,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,Chevrolet,Cruze,LTZ
134,2015,530000,14272,Petrol,Dealer,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT Titanium,Plus
135,2017,840000,49213,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium Plus,BSIV
136,2015,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz,1.1L
137,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800,Std
138,2012,130000,80000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,LS
139,2015,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
140,2011,120000,70000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI,BSIII
141,2003,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai,Santro LP,zipPlus
142,2016,250000,120000,Diesel,Individual,Manual,First Owner,Tata,Bolt Quadrajet,XE
143,2005,100000,30000,Petrol,Individual,Manual,First Owner,Maruti,800 AC,BSIII
144,2013,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era,Plus
145,2015,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna,1.2
146,2018,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2,Asta
147,2015,525000,100000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz VDi,Plus
148,2016,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4,CRDi
149,2002,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Santro,LE
150,2018,800000,35000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza,VDi
151,2007,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro,III
152,2008,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3,GLS
153,2012,195000,140000,Diesel,Individual,Manual,Second Owner,Mahindra,Quanto,C8
154,2015,400000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Tavera Neo 3 LS 7 C,BSIII
155,2012,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
156,2016,225000,25000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
157,2014,210000,90000,LPG,Individual,Manual,First Owner,Maruti,Wagon R DUO,LPG
158,2020,240000,120000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R,LXI
159,2015,300000,175000,Diesel,Individual,Manual,First Owner,Chevrolet,Enjoy 1.3 TCDi LS,8
160,2011,99000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark 1.0,LS
161,2014,620000,36000,Petrol,Individual,Manual,First Owner,Honda,City i VTEC,SV
162,2013,500000,30000,Diesel,Individual,Manual,First Owner,Honda,Amaze VX,i-DTEC
163,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,Jaguar,XJ 5.0 L V8,Supercharged
164,2013,260000,70000,Petrol,Individual,Manual,Second Owner,Honda,Brio E,MT
165,2017,550000,60000,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT,ZXI
166,2011,150000,155500,Diesel,Individual,Manual,First Owner,Tata,Indigo,CR4
167,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai,i10 Asta,AT
168,2016,320000,40000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,LT
169,2015,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti,Swift VDI,BSIV
170,2012,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LXi
171,2011,120000,90000,Petrol,Individual,Manual,Second Owner,Chevrolet,Beat,LT
172,2013,320000,90000,Diesel,Individual,Manual,Second Owner,Renault,Duster 110PS Diesel,RxZ
173,2006,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro Xing,XG
174,2019,810000,15000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire ZXI,Plus
175,2007,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800,AC
176,2020,282000,40000,CNG,Individual,Manual,First Owner,Maruti,Alto K10 LXI,CNG
177,2004,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti,800 Std,BSII
178,2013,72000,25000,Petrol,Individual,Manual,First Owner,Tata,Nano LX,SE
179,2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna,1.2
180,2015,640000,23000,Petrol,Individual,Manual,First Owner,Skoda,Rapid 1.6 MPI Ambition With Alloy,Wheel
181,2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,Alto K10,VXI
182,2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4,Delta
183,2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
184,2009,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20,Asta
185,2018,430000,30000,Petrol,Individual,Manual,First Owner,Tata,Nexon 1.2 Revotron,XM
186,2019,800000,15000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
187,2003,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Zen,D
188,2016,650000,70000,Diesel,Individual,Automatic,First Owner,Volkswagen,Vento Celeste 1.5 TDI Highline,AT
189,2017,390000,24000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 7 Seater Standard,BSIV
190,2005,100000,120000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5,EXI
191,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,New C-Class 220 CDI,AT
192,2007,175000,78380,Petrol,Individual,Manual,First Owner,Maruti,SX4 Zxi with Leather,BSIII
193,2012,434999,110000,Diesel,Individual,Manual,Second Owner,Renault,Duster 110PS Diesel,RxZ
194,2010,170000,90000,Diesel,Individual,Manual,Third Owner,Ford,Figo Diesel,Titanium
195,2011,190000,90000,Diesel,Individual,Manual,Third Owner,Ford,Figo Diesel,Titanium
196,2009,250000,150000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire,VDi
197,2009,229999,230000,Diesel,Individual,Manual,Third Owner,Mahindra,Xylo,E4
198,2006,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Esteem Vxi -,BSIII
199,2017,600000,80362,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI,BSIV
200,2012,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,i20 1.2,Sportz
201,2012,150000,60000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LT
202,2015,650000,50000,Diesel,Individual,Automatic,First Owner,Chevrolet,Cruze LTZ,AT
203,2014,210000,40000,Petrol,Individual,Manual,Second Owner,Nissan,Micra,XL
204,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,BMW,5 Series 520d Luxury,Line
205,2013,425000,20000,Diesel,Dealer,Manual,First Owner,Chevrolet,Enjoy 1.3 TCDi LS,8
206,2014,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus,Option
207,2018,890000,1136,Petrol,Dealer,Manual,First Owner,Fiat,Linea T Jet,Emotion
208,2013,365000,55000,Petrol,Dealer,Manual,First Owner,Renault,Scala,RxL
209,2014,350000,43000,Petrol,Dealer,Manual,First Owner,Ford,Figo Petrol,Titanium
210,2016,685000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz ZDi,SHVS
211,2018,940000,2650,Diesel,Dealer,Manual,First Owner,Skoda,Rapid 1.5 TDI Ambition,BSIV
212,2017,1000000,40000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W6,2WD
213,2019,1150000,15000,Petrol,Dealer,Manual,First Owner,Mahindra,XUV300 W8,Option
214,2016,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS,ZDI
215,2015,590000,65000,Diesel,Dealer,Manual,First Owner,Nissan,Terrano XE,D
216,2017,800000,40000,Diesel,Individual,Manual,First Owner,Maruti,S-Cross,Facelift
217,2012,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Magna 1.4 CRDi,(Diesel)
218,2013,2000000,15000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,New C-Class C 220 CDI BE,Avantgare
219,2012,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era,Plus
220,2017,640000,56000,Diesel,Dealer,Manual,First Owner,Volkswagen,Ameo 1.5 TDI,Highline
221,2006,52000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LX
222,2009,80000,90000,LPG,Individual,Manual,Second Owner,Maruti,Omni LPG CARGO BSIII W,IMMOBILISER
223,2012,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
224,2008,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna i,(Petrol)
225,2008,89999,213000,Diesel,Individual,Manual,First Owner,Mahindra,Renault Logan 1.5,DLS
226,2012,180000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Optra Magnum 2.0 LS,BSIII
227,2017,1500000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S11,BSIV
228,2017,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2,SX
229,2012,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti,SX4 Celebration,Diesel
230,2015,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Magna
231,2008,125000,80000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi,BSIII
232,2008,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Zxi with Leather,BSIII
233,2011,175000,139000,Petrol,Individual,Manual,Second Owner,Hyundai,i10,Era
234,2011,1075000,160000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 V Diesel,7-seater
235,2014,300000,150000,Diesel,Individual,Manual,First Owner,Honda,Mobilio V i,DTEC
236,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,Innova 2.5 G (Diesel) 7 Seater BS,IV
237,2009,90000,120000,Diesel,Dealer,Manual,First Owner,Tata,Indica V2 2001-2011 DLS,BSIII
238,2011,120000,120000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista TDI,LS
239,2012,220000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat Diesel,LS
240,2015,300000,140000,Diesel,Dealer,Manual,First Owner,Tata,Zest Quadrajet 1.3 75PS,XE
241,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,Skoda,Fabia 1.2L Diesel,Ambiente
242,2013,170000,70000,Petrol,Individual,Manual,First Owner,Maruti,800,Std
243,2015,300000,50000,Petrol,Individual,Manual,Second Owner,Ford,Figo Petrol,Titanium
244,2014,1050000,70000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX (Diesel) 8,Seater
246,2018,465000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi,Asta
247,2011,130000,80000,Diesel,Individual,Manual,Second Owner,Chevrolet,Beat Diesel,LT
248,2018,434999,10000,Petrol,Individual,Manual,First Owner,Datsun,GO Plus T Option,Petrol
249,2018,500000,32000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa,Asta
250,2018,200000,10000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD,BSIV
251,2017,625000,52000,Petrol,Dealer,Manual,First Owner,Maruti,Baleno Alpha,1.2
252,2006,110000,120000,Diesel,Individual,Manual,Third Owner,Ford,Fiesta Classic 1.4 SXI,Duratorq
253,2019,800000,11240,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Asta Option,BSIV
254,2017,490000,66000,Diesel,Dealer,Manual,First Owner,Hyundai,Grand i10 CRDi,Magna
255,2017,880000,64000,Diesel,Dealer,Manual,First Owner,Maruti,Ertiga SHVS,ZDI
256,2013,290000,49000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GL,Plus
257,2006,115999,100000,Diesel,Individual,Manual,Second Owner,Tata,Sumo GX TC 7 Str,BSIII
258,2018,360000,26500,Petrol,Individual,Manual,First Owner,Renault,KWID,RXT
259,2002,65000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800,AC
260,2017,685000,72000,Diesel,Dealer,Manual,First Owner,Maruti,Vitara Brezza LDi,Option
261,2009,300000,50000,Petrol,Individual,Manual,First Owner,Honda,Jazz,S
262,2017,680000,44000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 1.4,Sportz
263,2017,1000000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS ZDI,Plus
264,2002,100000,120000,Diesel,Individual,Manual,First Owner,Tata,Sumo SE Plus,BSIII
265,2010,160000,130000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo,E4
266,2017,450000,70000,Diesel,Individual,Manual,First Owner,Maruti,Swift ZDi,BSIV
267,2014,600000,20000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga,VXI
268,2009,180000,60000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 Magna,ABS
269,2007,100000,195000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LXi
270,2010,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
271,2006,130000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,Getz,GL
272,2011,160000,155000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX BS,IV
273,2019,860000,35000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
274,2018,650000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2,Spotz
275,2010,100000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
276,2017,282000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,VXI
277,2009,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Asta,(o)
278,2010,270000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20,Asta
279,2013,550000,29000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX CRDi,(O)
280,2013,450000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo D2,BSIV
281,2011,430000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero SLX 2WD,BSIII
282,2013,350000,40000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI,ABS
283,2017,350000,20000,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 E,MT
284,2013,229999,50000,Petrol,Individual,Manual,Second Owner,Toyota,Etios Liva,G
285,2013,110000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
286,2012,395000,49000,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire 1.2 Vxi,BSIV
287,2011,650000,70000,Diesel,Individual,Automatic,Second Owner,Mahindra,Scorpio VLS AT 2.2,mHAWK
288,2011,350000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero,SLX
289,2020,1400000,25000,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W11 Option,AWD
290,2018,360000,4000,Petrol,Individual,Manual,First Owner,Tata,Tiago 1.2 Revotron,XZ
291,2018,1300000,10000,Diesel,Individual,Manual,First Owner,Mahindra,Marazzo M8,8Str
292,2015,800000,15000,Diesel,Individual,Manual,First Owner,Renault,Duster 110PS Diesel,RxL
293,2018,229999,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna,Plus
294,2014,315000,41000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R,VXI
295,2012,125000,28000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,LT
296,2019,700000,16000,Petrol,Individual,Manual,First Owner,Maruti,Baleno,Alpha
297,2015,160000,70000,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Kappa Magna,Plus
